id,name,shelf_life,available,last_available,serving_unit,serving_size,protein,carbs,fat,fiber,energy
77,salsa,10,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
78,cucumber,10,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
79,noodles,3,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
80,salmon,2,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
81,Shallots,10,t,2025-07-07 18:03:23.002622,g,100,0,0,0,0,0
82,Aubergine,4,f,2025-07-07 12:44:02.098519,g,100,0,0,0,0,0
83,banana,5,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
84,chicken,6,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
85,Lettuce,5,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
86,onions,14,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
87,Soy milk,5,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
88,tomatoes,10,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
89,Frozen mutton,120,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
90,Celery,5,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
91,tofu,30,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
92,Spring onions,14,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
93,Salad radish,5,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
95,eggs,21,t,2025-07-03 18:23:11.312069,nos,1,6.3,0.6,5.4,0,78
96,yogurt,7,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
97,Coriander leaves,7,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
98,Cabbage,14,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
99,Bread,5,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
100,beans,5,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
101,carrot,10,t,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
102,asparagus,7,f,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
94,capsicum,4,f,2025-07-03 18:23:11.312069,g,100,0,0,0,0,0
