id,day,meal_type,recipe_ids
1,Sunday,breakfast,{1}
2,Sunday,lunch,{17}
4,Sunday,dinner,{22}
5,Monday,breakfast,{5}
6,Monday,dinner,{16}
7,Monday,lunch,{47}
9,Tuesday,breakfast,{1}
11,Thursday,breakfast,{1}
13,Wednesday,dinner,{50}
29,Monday,pre-breakfast,{54}
12,Tuesday,lunch,{25}
10,Wednesday,breakfast,"{30,7,48}"
8,Tuesday,dinner,{10}
14,Wednesday,lunch,{23}
