id,name,shelf_life,available,last_available,serving_unit,serving_size,protein,carbs,fat,fiber,energy,iron_mg,magnesium_mg,calcium_mg,potassium_mg,sodium_mg,vitamin_c_mg
36,chaat masala,1095,t,2026-09-04 14:12:46.686041,g,100,13.20,32.00,12.00,16.00,289.00,10.00,60.00,150.00,700.00,12000.00,5.00
37,chana masala,730,f,2025-08-02 19:20:42.40832,g,100,4.00,13.00,9.00,2.00,150.00,3.00,30.00,50.00,300.00,1000.00,2.00
38,chapati flour,180,t,2026-09-04 14:12:50.002439,g,100,9.70,78.30,1.40,3.40,351.00,4.40,90.00,35.00,315.00,5.00,0.00
39,cheddar,45,f,2025-07-03 18:23:11.312069,g,100.0,24.90,1.30,33.10,0.00,403.00,0.66,28.00,721.00,98.00,653.00,0.00
40,cheddar cheese,45,f,2025-07-07 12:44:02.098519,g,100,24.90,1.30,33.10,0.00,403.00,0.66,28.00,721.00,98.00,653.00,0.00
227,Cheese,45,f,,g,100,24.90,1.30,33.10,0.00,403.00,0.66,28.00,721.00,98.00,653.00,0.00
41,cherry tomatoes,10,f,2025-07-27 18:49:44.723396,g,100,0.88,3.89,0.20,1.20,18.00,0.27,12.00,10.00,212.00,5.00,13.70
42,chia seeds,730,t,2026-09-06 12:00:24.540174,g,100,16.54,42.12,30.73,34.40,486.00,7.72,335.00,631.00,407.00,16.00,1.60
43,chicken,270,t,2026-09-06 12:00:28.533864,g,100,31.02,0.00,3.60,0.00,165.00,1.00,29.00,15.00,256.00,74.00,0.00
44,chicken breast,270,f,2025-07-03 18:23:11.312069,g,100,31.02,0.00,3.60,0.00,165.00,1.00,29.00,15.00,256.00,74.00,0.00
45,chickpeas,730,f,2025-07-07 12:44:02.098519,g,100,8.86,27.42,2.59,7.60,164.00,2.89,48.00,49.00,291.00,7.00,1.30
46,chilli flakes,730,f,2025-07-07 12:44:02.098519,g,100,12.66,56.78,17.27,27.20,318.00,7.80,59.00,80.00,2014.00,34.00,76.40
47,chilli powder,730,t,2026-09-06 12:01:10.917346,g,100,13.46,49.70,14.31,34.80,282.00,14.31,80.00,330.00,2534.00,683.00,64.20
48,cinnamon,1095,t,2026-09-06 12:01:09.936013,g,100,3.99,80.59,1.24,53.10,247.00,8.32,60.00,1002.00,431.00,10.00,11.30
49,cloves,1095,t,2026-09-06 12:01:12.151201,g,100,5.98,65.53,13.00,33.90,274.00,11.83,259.00,632.00,1020.00,277.00,11.70
50,coconut,7,t,2026-09-06 12:01:15.634179,g,100,3.33,15.23,33.49,9.00,354.00,3.43,32.00,14.00,356.00,20.00,3.30
51,coconut oil,1095,t,2026-09-06 12:01:21.501467,g,100,0.00,0.00,100.00,0.00,892.00,0.00,0.00,0.00,0.00,0.00,0.00
52,corn,5,f,2025-07-07 12:44:02.098519,g,100,3.41,20.98,1.50,2.40,96.00,0.45,26.00,3.00,218.00,1.00,5.50
53,corriander leaves,7,f,2025-07-07 12:44:02.098519,g,100,2.13,3.67,0.52,2.80,23.00,1.82,26.00,67.00,521.00,46.00,27.00
54,corriander powder,730,t,2026-09-06 12:01:19.432717,g,100,12.37,54.99,17.77,41.20,298.00,16.32,288.00,709.00,1267.00,46.00,0.00
55,cottage cheese,7,f,2025-07-03 18:23:11.312069,g,100,11.12,3.38,4.30,0.00,98.00,0.08,8.00,60.00,104.00,364.00,0.00
56,couscous,365,t,2026-09-06 12:01:24.850772,g,100,3.79,23.22,0.16,1.40,112.00,0.37,8.00,8.00,58.00,10.00,0.00
57,cucumber,7,f,2025-07-07 12:44:02.098519,g,100,0.65,3.63,0.11,0.50,15.00,0.28,13.00,16.00,147.00,2.00,2.80
58,cumin seeds,1095,t,2026-09-06 12:01:26.349891,g,100,17.81,44.24,22.27,10.50,375.00,66.36,931.00,931.00,1781.00,168.00,7.70
59,cumin whole jeera,1095,f,2025-07-07 12:44:02.098519,g,100,17.81,44.24,22.27,10.50,375.00,66.36,931.00,931.00,1781.00,168.00,7.70
60,curry leaves,7,f,2025-07-07 12:44:02.098519,g,100,6.10,18.70,1.00,6.40,108.00,5.00,44.00,830.00,610.00,30.00,5.00
218,dates,365,t,2026-09-06 12:01:48.086073,g,100,1.81,74.97,0.15,6.70,277.00,0.90,54.00,39.00,696.00,2.00,0.00
61,dried oregano,365,f,2025-07-07 12:44:02.098519,g,100,9.00,68.92,4.28,42.50,265.00,36.80,160.00,1597.00,1260.00,15.00,2.30
221,Dry green peas,365,f,2025-08-19 16:07:43.073088,g,100,24.55,60.40,1.16,25.50,341.00,4.31,63.00,27.00,852.00,15.00,0.00
62,dry methi leaves,2190,f,2025-07-07 12:44:02.098519,g,100,13.00,68.00,6.50,10.00,379.00,16.00,60.00,400.00,800.00,100.00,0.00
64,egg,28,t,2026-09-06 12:01:54.532303,nos,1.0,6.30,0.40,4.80,0.00,72.00,0.45,3.10,12.60,63.00,62.00,0.00
63,egg noodles,365,t,2026-09-06 12:01:55.651229,g,100,4.54,25.16,1.53,1.20,138.00,1.03,13.00,11.00,41.00,5.00,0.00
65,falafel,4,f,2025-07-07 12:44:02.098519,g,100,13.31,31.84,17.77,4.90,333.00,2.51,82.00,54.00,585.00,294.00,1.30
66,fennel seeds,1095,f,2025-07-07 12:44:02.098519,g,100,15.95,52.29,14.87,39.80,345.00,18.54,385.00,1196.00,1694.00,88.00,0.00
210,Fenugreek seeds,365,t,2026-09-06 12:02:07.280093,tsp,1,1.10,2.10,0.20,0.90,12.00,1.24,7.00,6.50,46.00,2.50,0.00
67,feta,60,f,2025-07-03 18:23:11.312069,g,100,14.21,4.09,21.28,0.00,264.00,0.17,19.00,493.00,62.00,1116.00,0.00
68,feta cheese,60,f,2025-07-07 12:44:02.098519,g,100,14.21,4.09,21.28,0.00,264.00,0.17,19.00,493.00,62.00,1116.00,0.00
69,fig,7,f,2025-07-07 12:44:02.098519,g,100,0.75,19.18,0.30,2.90,74.00,0.37,17.00,35.00,197.00,1.00,2.00
199,finger millet,365,f,2025-07-30 19:47:26.693865,g,100,7.30,72.00,1.30,11.50,328.00,3.90,195.00,364.00,408.00,11.00,0.00
211,Flat beans,7,f,2025-08-11 17:57:40.633806,g,100,1.83,7.14,0.20,3.20,31.00,1.04,25.00,37.00,209.00,6.00,12.20
70,flax seed powder,42,f,2025-07-07 12:44:02.098519,tbsp,1,1.30,3.10,2.50,1.70,37.00,0.40,27.00,26.00,57.00,1.00,0.00
196,Foxtail,365,f,2025-07-27 16:25:42.290918,g,100,12.30,60.90,4.20,8.00,331.00,2.70,100.00,31.00,250.00,5.00,0.00
71,fresh coriander,7,f,2025-07-07 12:44:02.098519,g,100,2.13,3.67,0.52,2.80,23.00,1.82,26.00,67.00,521.00,46.00,27.00
72,fried onions,30,t,2026-09-06 12:02:21.217363,g,100,1.15,14.55,15.60,2.05,202.00,0.50,12.00,30.00,150.00,100.00,0.00
73,fruit,7,f,2025-07-07 12:44:02.098519,g,100,0.30,13.80,0.20,2.40,52.00,0.12,5.00,6.00,107.00,1.00,4.60
74,garam masala,730,t,2026-09-06 12:02:28.834531,g,100,10.40,42.66,12.02,28.70,320.42,8.00,120.00,250.00,800.00,50.00,5.00
75,garlic,60,t,2026-09-06 12:02:31.417021,nos,1.0,0.19,1.00,0.02,0.06,4.50,0.05,0.75,5.40,12.00,0.50,0.94
76,garlic paste,14,f,2025-07-03 18:23:11.312069,g,100,6.00,30.00,0.30,1.60,147.00,1.00,15.00,60.00,300.00,50.00,5.00
231,ghee,365,t,2026-09-06 11:53:21.635928,g,100,0.00,0.00,100.00,0.00,900.00,0.00,0.00,4.00,5.00,2.00,0.00
77,ginger,20,t,2026-09-06 11:53:20.321914,g,100.0,1.80,17.80,0.80,2.00,80.00,0.60,43.00,16.00,415.00,13.00,5.00
78,ginger garlic paste,14,t,2026-09-06 11:53:18.408909,g,100,3.90,23.90,12.72,1.80,163.96,1.30,18.00,80.00,350.00,40.00,10.00
79,ginger paste,14,f,2025-07-07 18:03:23.002622,g,100,1.80,17.80,0.70,2.00,80.00,0.40,15.00,13.00,390.00,10.00,3.00
80,gram masala,730,t,2026-09-06 11:53:23.054357,g,100,10.40,42.66,12.02,28.70,320.42,8.00,120.00,150.00,800.00,50.00,5.00
81,grapes,10,f,2025-07-07 12:44:02.098519,g,100,0.72,18.10,0.16,0.90,69.00,0.36,7.00,10.00,191.00,2.00,3.20
82,greek yogurt,14,t,2026-09-06 11:53:26.308387,g,100,6.00,4.00,10.00,0.00,128.00,0.10,11.00,110.00,141.00,35.00,0.00
83,green beans,7,f,2025-07-03 18:23:11.312069,g,100,1.83,7.14,0.20,3.20,31.00,1.04,25.00,37.00,211.00,6.00,12.20
84,green chillies,7,f,2025-07-07 12:44:02.098519,nos,1.0,0.10,0.20,0.00,0.10,1.00,0.17,3.00,2.00,36.00,0.50,36.00
193,Green moong dhal,365,f,2025-07-27 16:17:52.666511,cup,1.0,48.00,126.00,2.40,32.00,694.00,13.50,378.00,264.00,2492.00,30.00,9.60
212,green pumpkin seeds,365,f,2025-08-12 16:03:26.656628,g,100,30.23,10.71,49.07,6.00,559.00,8.82,592.00,46.00,809.00,7.00,1.90
85,greens,5,f,2025-07-07 12:44:02.098519,g,100,3.00,3.80,0.30,2.40,23.00,1.50,25.00,150.00,250.00,30.00,30.00
86,grilled chicken,120,f,2025-07-07 12:44:02.098519,g,100,31.02,0.00,3.60,0.00,165.00,1.00,29.00,15.00,256.00,74.00,0.00
87,ground beef,120,f,2025-07-07 12:44:02.098519,g,100,20.00,0.00,15.00,0.00,220.00,1.98,17.00,18.00,283.00,63.00,0.00
88,guava,7,f,2025-07-03 18:23:11.312069,g,100,2.55,14.32,0.95,5.40,68.00,0.26,22.00,18.00,417.00,2.00,228.30
89,halloumi,14,f,2025-07-07 12:44:02.098519,g,100,22.00,1.80,25.00,0.00,325.00,0.40,20.00,730.00,130.00,2190.00,0.00
217,hazelnuts,365,f,2025-08-12 16:06:19.158756,g,100,14.95,16.70,60.75,9.70,628.00,4.70,163.00,114.00,680.00,5.00,6.30
90,head romaine lettuce,10,f,2025-07-03 18:23:11.312069,g,100,1.23,3.28,0.30,2.10,17.00,0.97,14.00,33.00,194.00,8.00,4.00
91,honey,1825,t,2026-09-06 12:02:58.564006,ml,15.0,0.06,17.60,0.00,0.00,64.80,0.09,0.42,1.30,11.10,0.60,0.10
92,hummus,4,f,2025-07-07 12:44:02.098519,g,100,7.90,14.30,9.60,6.00,170.00,2.40,71.00,38.00,228.00,379.00,0.00
208,Ivy gourd (kovakkai),7,f,2025-08-10 14:25:37.907917,g,100,1.20,3.70,0.10,3.00,18.00,1.40,20.00,40.00,200.00,5.00,15.00
228,Jason's Protein Bread,10,t,2026-09-06 12:03:03.531556,nos,1,10.00,5.00,2.50,3.00,80.00,0.70,15.00,30.00,80.00,150.00,0.00
