id,name,shelf_life,available,last_available,serving_unit,serving_size,protein,carbs,fat,fiber,energy,iron_mg,magnesium_mg,calcium_mg,potassium_mg,sodium_mg,vitamin_c_mg
148,rice,1095,t,2026-09-06 12:07:41.012062,g,100,2.69,28.17,0.28,0.40,130.00,0.20,12.00,10.00,35.00,1.00,0.00
209,ridge gourd (peerkangai),7,f,2025-08-10 14:32:49.398706,g,100,1.20,4.40,0.20,1.40,20.00,0.36,14.00,20.00,139.00,5.00,12.00
149,roasted gram,365,f,2025-07-07 12:44:02.098569,g,100,9.00,27.00,2.60,17.00,167.00,3.50,60.00,60.00,500.00,10.00,0.00
151,rosemary,14,f,2025-07-07 12:44:02.098571,g,100,3.30,20.70,5.86,14.10,131.00,1.07,91.00,317.00,668.00,26.00,21.80
152,roti flour,180,t,2026-09-06 12:07:39.781676,g,100,9.70,78.30,1.40,3.40,351.00,4.40,90.00,35.00,315.00,5.00,0.00
153,rye toast,7,f,2025-07-07 12:44:02.098573,g,100,9.30,53.10,3.60,5.80,285.00,2.50,40.00,40.00,250.00,400.00,0.00
229,saffron,730,f,2026-09-04 09:08:34.786261,g,100,11.40,65.40,5.90,3.90,310.00,24.60,264.00,111.00,1724.00,148.00,80.80
154,salad leaves,5,f,2025-07-07 12:44:02.098574,g,100,1.36,2.87,0.15,1.30,15.00,0.41,7.00,18.00,141.00,10.00,2.80
219,salad radish,14,f,2025-08-17 12:14:26.876144,g,100,0.68,3.40,0.10,1.60,16.00,0.34,10.00,25.00,233.00,39.00,14.80
155,salad tomatoes,7,f,2025-07-07 12:44:02.098575,g,100,0.88,3.89,0.20,1.20,18.00,0.27,12.00,10.00,237.00,5.00,13.70
156,salmon,90,t,2026-09-06 12:08:03.694019,g,100,20.30,0.00,13.10,0.00,203.00,0.34,27.00,9.00,363.00,44.00,0.00
157,salsa,14,f,2025-07-07 12:44:02.098577,g,100,2.00,8.00,0.00,2.00,36.00,0.50,15.00,20.00,250.00,400.00,5.00
158,salt,1825,t,2026-09-06 12:08:05.378237,g,100,0.00,0.00,0.00,0.00,0.00,0.29,2.00,24.00,8.00,38758.00,0.00
215,sesame seeds,365,t,2026-09-06 12:08:09.076893,g,100,17.73,23.45,49.67,11.80,573.00,14.55,351.00,975.00,468.00,11.00,0.00
230,shah jeera,730,f,2026-09-04 09:08:34.800316,g,100,19.80,49.90,14.60,38.00,333.00,16.20,258.00,689.00,1351.00,17.00,0.00
159,shallots,30,t,2026-09-06 12:08:16.010196,g,100,2.50,16.82,0.10,3.20,72.00,1.20,21.00,37.00,334.00,12.00,8.00
160,shredded chicken,120,f,2025-07-07 12:44:02.09858,g,100,22.00,0.00,2.50,0.00,110.00,0.70,29.00,15.00,256.00,74.00,0.00
161,shrimp,180,f,2025-07-07 12:44:02.098581,g,100,24.24,0.20,0.28,0.00,99.00,0.51,29.00,70.00,259.00,111.00,0.00
162,smoked paprika,730,f,2025-07-07 12:44:02.098582,g,100,14.00,54.00,12.90,35.00,319.00,14.31,80.00,330.00,2534.00,683.00,64.20
226,Smoked Salmon,90,f,,g,100,18.28,0.00,4.32,0.00,117.00,0.31,23.00,11.00,314.00,784.00,0.00
204,soy milk (alpro),5,f,2025-07-30 20:06:20.456331,ml,100,3.30,2.60,1.90,0.60,42.00,0.30,15.00,120.00,120.00,40.00,0.00
163,soy sauce,730,t,2026-09-06 12:08:20.79433,g,100,8.14,4.93,0.57,0.80,53.00,2.38,48.00,33.00,212.00,5493.00,0.00
164,spices,730,f,2025-07-07 12:44:02.098584,g,100,10.40,42.66,12.02,28.70,320.42,10.00,100.00,200.00,800.00,50.00,5.00
165,spinach,5,f,2025-07-07 12:44:02.098585,g,100,2.86,3.63,0.39,2.20,23.00,2.71,79.00,99.00,558.00,79.00,28.10
166,split peas,1095,f,2025-07-07 12:44:02.098586,g,100,24.55,60.40,1.16,26.00,341.00,4.31,63.00,27.00,852.00,15.00,0.00
167,spring onion,7,t,2026-09-06 12:08:21.914036,g,100,1.83,7.34,0.19,2.60,32.00,1.48,16.00,38.00,212.00,4.00,18.80
168,star anise,1095,t,2026-09-06 12:08:25.16102,g,100,18.00,50.00,16.00,15.00,337.00,5.00,50.00,100.00,400.00,20.00,1.00
169,strawberry,5,f,2025-07-07 12:44:02.098589,g,100,0.67,7.68,0.30,2.00,32.00,0.42,20.00,16.00,153.00,1.00,58.80
170,sunflower oil,730,t,2026-09-06 12:08:26.828231,g,100,0.00,0.00,100.00,0.00,900.00,0.00,0.00,0.00,0.00,0.00,0.00
172,sweetcorn,5,f,2025-07-07 12:44:02.098592,g,100,3.41,20.98,1.50,2.40,96.00,0.45,26.00,3.00,218.00,1.00,5.50
171,sweet potatoes,30,f,2025-07-07 12:44:02.098591,g,100,1.60,20.71,0.15,3.30,90.00,0.59,25.00,34.00,466.00,36.00,19.60
173,tabbouleh,4,f,2025-07-07 12:44:02.098593,g,100,2.00,10.00,15.00,3.00,186.00,1.50,25.00,40.00,300.00,300.00,1.00
174,tamarind,365,t,2026-09-06 12:08:45.328064,g,100,2.80,62.50,0.60,5.10,239.00,2.80,92.00,74.00,628.00,28.00,3.50
175,thyme,14,f,2025-07-07 12:44:02.098595,g,100,5.56,24.45,1.68,14.00,101.00,17.45,160.00,405.00,609.00,9.00,160.00
176,toast,7,f,2025-07-07 12:44:02.098596,g,100,9.30,57.10,1.60,1.80,265.00,1.50,15.00,30.00,100.00,400.00,0.00
177,tofu,7,f,2025-07-07 12:44:02.098597,g,100,17.27,2.78,8.72,2.30,144.00,2.66,58.00,350.00,237.00,7.00,0.10
178,tomato,7,t,2026-09-06 12:09:14.337461,g,100,0.88,3.89,0.20,1.20,18.00,0.27,12.00,10.00,237.00,5.00,13.70
179,tomato salsa,14,f,2025-07-07 12:44:02.098599,g,100,0.95,5.95,2.38,1.67,49.00,0.30,10.00,15.00,250.00,200.00,5.00
180,toor dhal,1095,t,2026-09-06 12:09:12.645347,g,100,22.86,62.78,1.64,15.00,343.00,4.40,156.00,100.00,1392.00,17.00,0.00
182,turmeric,1095,f,2026-09-06 12:09:15.643849,g,100,9.68,67.14,3.25,22.70,312.00,55.00,193.00,183.00,1976.00,27.00,0.80
183,turmeric powder,1095,t,2026-09-06 12:09:20.543564,g,100,9.68,67.14,3.25,22.70,312.00,55.00,193.00,183.00,1976.00,27.00,0.80
185,urad dhal,1095,t,2026-09-06 12:09:27.328395,g,100,25.21,58.99,1.64,18.30,341.00,7.60,260.00,154.00,983.00,38.00,0.00
222,Vegetables,7,f,,g,100,2.00,6.00,0.20,2.50,30.00,0.80,20.00,40.00,300.00,30.00,30.00
186,vegetable stock,365,f,2025-07-07 12:44:02.098607,g,100,0.23,0.95,0.09,0.00,5.00,0.05,2.00,5.00,40.00,400.00,0.00
187,walnuts,365,f,2025-07-07 12:44:02.098608,g,100,15.23,13.71,65.21,6.70,654.00,2.91,158.00,98.00,441.00,2.00,1.30
188,water,1825,t,2026-09-06 12:09:42.743833,cup,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
189,watermelon,7,f,2025-07-07 12:44:02.09861,g,100,0.61,7.55,0.15,0.40,30.00,0.24,10.00,8.00,112.00,1.00,8.10
205,wheat flour,180,t,2026-09-06 12:09:49.376992,g,100,13.21,72.57,2.50,10.70,340.00,3.60,138.00,34.00,363.00,2.00,0.00
150,white pumpkin seeds,7,f,2025-07-07 12:44:02.09857,g,100,30.23,10.71,49.07,6.00,559.00,8.82,592.00,46.00,809.00,7.00,1.90
224,Yellow Bell Pepper,7,f,,g,100,0.98,6.15,0.27,2.10,27.00,0.46,12.00,11.00,212.00,3.00,183.50
191,yoghurt,7,f,2025-07-27 18:51:23.3736,g,100,3.47,4.70,3.25,0.00,61.00,0.05,12.00,121.00,155.00,46.00,0.50
192,zucchini,7,f,2025-07-07 12:44:02.098614,g,100,1.21,3.11,0.32,1.00,17.00,0.37,18.00,16.00,261.00,8.00,17.90
